,production_date,mileage,model_date,carconfig,colour,transmission,drive_unit,wheel,owners,licence,brand,model_name,age,engine_displacement,power,fuel_type,number_of_doors,price,test
0,2013,93000,II Рестайлинг 2 2012 – 2014 ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,Land Rover ,Freelander ,,2.2 LTR ,150, Дизель,5,1700000,0
1,2010,95000,III Рестайлинг 2009 – 2012 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Honda ,CR-V ,7 лет и 1 месяц,2.0 LTR ,150, Бензин,5,1080000,0
2,2018,46815,IV Рестайлинг 2017 – н.в. ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,Land Rover ,Range Rover ,3 года и 3 месяца,4.4 LTR ,339, Дизель,5,7499999,0
3,2007,171000,I Рестайлинг 2005 – 2012 ,хэтчбек 5 дв.,зелёный,механическая,передний,Левый,3 или более,Дубликат,Ford ,Fusion ,,1.4 LTR ,80, Бензин,5,310000,0
4,2016,98000,I Рестайлинг 2013 – 2018 ,седан,белый,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Priora ,,1.6 LTR ,87, Бензин,4,357000,0
5,2016,96457,C Рестайлинг 2016 – 2019 ,минивэн,синий,механическая,передний,Левый,1 владелец,Оригинал,Opel ,Zafira ,,1.6 LTR ,135, Дизель,5,1415000,0
6,2015,104000,II 2013 – 2018 ,универсал 5 дв.,оранжевый,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Kalina ,5 лет и 7 месяцев,1.6 LTR ,106, Бензин,5,415000,0
7,2020,704,II (G14/G15/G16) 2018 – н.в. ,седан,серый,автоматическая,полный,Левый,1 владелец,Оригинал,BMW ,8 серии ,,3.0 LTR ,320, Дизель,4,7149000,0
8,2012,75431,II (W218) 2011 – 2014 ,седан,серый,автоматическая,задний,Левый,2 владельца,Оригинал,Mercedes-Benz ,CLS AMG ,3 года и 7 месяцев,5.5 LTR ,525, Бензин,4,3150000,0
9,2008,97000,I 2004 – 2013 ,универсал 5 дв.,синий,механическая,передний,Левый,2 владельца,Оригинал,LADA (ВАЗ) ,Kalina ,,1.6 LTR ,81, Бензин,5,199000,0
10,2018,19214,II Рестайлинг 2016 – 2019 ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,Ford ,Kuga ,,1.5 LTR ,150, Бензин,5,1510000,0
11,2006,190000,I 2002 – 2009 ,седан,серебристый,механическая,передний,Левый,3 или более,Оригинал,Chevrolet ,Lanos ,,1.5 LTR ,86, Бензин,4,55000,0
12,2007,180000,1982 – 2012 ,седан,синий,механическая,задний,Левый,3 или более,Оригинал,LADA (ВАЗ) ,2107 ,,1.6 LTR ,74, Бензин,4,40000,0
13,2013,174000,III Рестайлинг 2010 – 2015 ,фургон,белый,механическая,передний,Левый,3 или более,Оригинал,Volkswagen ,Caddy ,2 года и 12 месяцев,1.2 LTR ,86, Бензин,4,545000,0
14,2016,201000,IV (W205) 2014 – 2018 ,седан,чёрный,автоматическая,полный,Левый,2 владельца,Оригинал,Mercedes-Benz ,C-Класс ,,2.0 LTR ,184, Бензин,4,1540000,0
15,2009,108000,I Рестайлинг 2008 – 2016 ,седан,серый,механическая,передний,Левый,1 владелец,Оригинал,Daewoo ,Nexia ,,1.6 LTR ,109, Бензин,4,159000,0
16,2007,5700,I 2003 – 2008 ,купе,оранжевый,роботизированная,полный,Левый,3 или более,Оригинал,Lamborghini ,Gallardo ,,5.0 LTR ,520, Бензин,2,7500000,0
17,2015,76000,"IV (W212, S212, C207) Рестайлинг 2013 – 2016 ",седан,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,Mercedes-Benz ,E-Класс ,,2.1 LTR ,204, Дизель,4,1750000,0
18,2010,86000,III Рестайлинг 2008 – 2012 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Suzuki ,Grand Vitara ,4 года и 9 месяцев,2.4 LTR ,169, Бензин,5,850000,0
19,2018,52582,I Рестайлинг 3 2016 – н.в. ,внедорожник 5 дв.,серый,механическая,полный,Левый,1 владелец,Оригинал,УАЗ ,Patriot ,,2.7 LTR ,135, Бензин,5,729000,0
20,2012,168081,IV (DS/DJ) 2008 – 2019 ,пикап двойная кабина,чёрный,автоматическая,полный,Левый,3 или более,Оригинал,Dodge ,RAM ,2 года и 11 месяцев,5.7 LTR ,396, Бензин,4,2299999,0
21,2015,76293,III Рестайлинг 2 2015 – 2018 ,внедорожник 5 дв.,белый,вариатор,полный,Левый,1 владелец,Оригинал,Mitsubishi ,Outlander ,,2.0 LTR ,146, Бензин,5,1330000,0
22,2017,118750,I 2015 – н.в. ,седан,белый,механическая,передний,Левый,1 владелец,Оригинал,LADA (ВАЗ) ,Vesta ,,1.6 LTR ,106, Бензин,4,535000,0
23,2020,2500,I (F39) 2017 – н.в. ,внедорожник 5 дв.,серый,автоматическая,полный,Левый,1 владелец,Оригинал,BMW ,X2 ,,2.0 LTR ,150, Дизель,5,2960000,0
24,2014,66160,I Рестайлинг 2014 – 2017 ,седан,красный,механическая,передний,Левый,2 владельца,Оригинал,Hyundai ,Solaris ,,1.6 LTR ,123, Бензин,4,605000,0
25,2009,148000,I 2006 – 2010 ,внедорожник 5 дв.,серый,вариатор,полный,Левый,2 владельца,Оригинал,Nissan ,Qashqai ,,2.0 LTR ,141, Бензин,5,710000,0
26,2012,148000,III (XA30) Рестайлинг 2010 – 2014 ,внедорожник 5 дв.,красный,вариатор,полный,Левый,2 владельца,Оригинал,Toyota ,RAV4 ,,2.0 LTR ,148, Бензин,5,1285000,0
27,2017,65000,I 2016 – н.в. ,минивэн,бежевый,автоматическая,передний,Левый,1 владелец,Оригинал,Citroen ,SpaceTourer ,,2.0 LTR ,150, Дизель,5,2295000,0
28,2017,55298,II Рестайлинг 2012 – 2020 ,внедорожник 5 дв.,белый,автоматическая,полный,Левый,3 или более,Оригинал,Kia ,Sorento ,,2.4 LTR ,175, Бензин,5,1576000,0
29,2020,1674,I (G07) 2018 – н.в. ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,1 владелец,Оригинал,BMW ,X7 ,,3.0 LTR ,400, Дизель,5,11520400,0
30,2012,160233,I Рестайлинг 2010 – 2013 ,внедорожник 5 дв.,белый,вариатор,передний,Левый,2 владельца,Оригинал,Nissan ,Qashqai ,,2.0 LTR ,141, Бензин,5,790000,0
31,2004,175157,IV 1997 – 2006 ,универсал 5 дв.,серебристый,механическая,передний,Левый,3 или более,Оригинал,Volkswagen ,Golf ,,1.4 LTR ,75, Бензин,5,265000,0
32,2018,111595,III Рестайлинг 2 2015 – 2018 ,внедорожник 5 дв.,коричневый,вариатор,передний,Левый,1 владелец,Оригинал,Mitsubishi ,Outlander ,2 года и 10 месяцев,2.0 LTR ,146, Бензин,5,1320000,0
33,2013,69326,I Рестайлинг 2013 – 2017 ,внедорожник 5 дв.,чёрный,роботизированная,передний,Левый,2 владельца,Оригинал,Volvo ,XC60 ,,2.0 LTR ,240, Бензин,5,1633000,0
34,2017,42000,I (F26) 2014 – 2018 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,2 владельца,Оригинал,BMW ,X4 ,,2.0 LTR ,184, Бензин,5,2433000,0
35,2019,29368,I 2016 – н.в. ,внедорожник 5 дв.,серый,механическая,передний,Левый,1 владелец,Оригинал,Geely ,Atlas ,,2.0 LTR ,139, Бензин,5,1200000,0
36,2020,13612,VIII (XV70) 2017 – н.в. ,седан,коричневый,автоматическая,передний,Левый,1 владелец,Оригинал,Toyota ,Camry ,,2.5 LTR ,181, Бензин,4,2169000,0
37,2017,42000,I (F26) 2014 – 2018 ,внедорожник 5 дв.,чёрный,автоматическая,полный,Левый,2 владельца,Оригинал,BMW ,X4 ,,2.0 LTR ,184, Бензин,5,2433000,0
38,2013,104226,I Рестайлинг 2010 – 2013 ,внедорожник 5 дв.,коричневый,вариатор,передний,Левый,2 владельца,Оригинал,Nissan ,Qashqai ,,1.6 LTR ,117, Бензин,5,800000,0
39,2005,114000,VI (997) 2004 – 2009 ,купе,серый,автоматическая,полный,Левый,3 или более,Оригинал,Porsche ,911 ,,3.6 LTR ,325, Бензин,2,2300000,0
40,2020,13612,VIII (XV70) 2017 – н.в. ,седан,коричневый,автоматическая,передний,Левый,1 владелец,Оригинал,Toyota ,Camry ,,2.5 LTR ,181, Бензин,4,2169000,0
